Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
100 Rifles;0063970;5.9;;3920000;
101 Reykjavík;0237993;6.9;12182;;
Salo;;;;;
25th Hour;0307901;7.7;13060843;15000000;-1939157
2010;0086837;6.8;40200000;28000000;12200000
Le crime est notre affaire;1206478;6.3;;;
42nd Street;0024034;7.7;2300000;439000;1861000
48 Shades;0476519;6.0;;;
491;0057810;5.9;;;
Fifty Shades of Grey;2322441;4.1;570489358;40000000;530489358
50 Ways of Saying Fabulous;0429482;5.8;;;
52 Pick-Up;0090567;6.4;5186646;;
Die Hard 2;0099423;7.1;240031094;70000000;170031094
633 Squadron;0057811;6.4;;1300000;
The Alphabet Murders;0060094;5.4;;;
About a Boy;0276751;7.1;130549455;27000000;103549455
About Schmidt;0257360;7.2;105834556;30000000;75834556
Absolute Power;0118548;6.7;50007168;50000000;7168
The Accidental Tourist;0094606;6.8;32632093;;
Across 110th Street;0068168;7.0;10000000;;
Adam Resurrected;0479341;6.3;;10000000;
Abandon;0267248;4.9;12302219;25000000;-12697781
Paper Moon;0070510;8.2;30933743;;
Lü cha;0382821;6.9;;;
Adolphe;0307923;6.0;;;
Adventure;0037494;6.0;6000000;3500000;2500000
The Adventurers;0065374;5.1;;17000000;
Alatriste;;;;;
The Adventures of Hajji Baba;0046683;5.9;;;
The Adventures of Mark Twain;0088678;7.6;849915;;
Priklyucheniya Buratino;0073570;7.9;;;
The Adventures of Sherlock Holmes;0086661;8.8;;;
The Adventures of Mark Twain;0088678;7.6;849915;;
Advise & Consent;0055728;7.8;;;
Aelita;4963304;;;;
The African Queen;0043265;7.9;10750000;;
After Dark, My Sweet;0098994;6.6;2678414;;
Carlito's Way 1993;;;;;
Murder at the Gallop;0057334;7.3;;;
The Age of Innocence;0106226;7.2;32000000;30000000;2000000
The Agony and the Ecstasy;0058886;7.2;4000000;10000000;-6000000
Goodbye Again;0054936;7.0;;;
Air America;0099005;5.7;31053601;35000000;-3946399
Airborn;1542361;;;132750;
Airport;0065377;6.6;100489150;10000000;90489150
Alice Adams;0026056;7.1;;;
Allan Quatermain and the Lost City of Gold;0092534;4.3;3751699;;
The Architect;0466665;5.5;12644;;
Across to Singapore;0018618;7.3;596000;290000;306000
All the King's Men;0405676;6.2;7221458;55000000;-47778542
All the Pretty Horses;0149624;5.8;18133495;57000000;-38866505
All the Rivers Run;0086663;8.0;;;
Sex Drive;1135985;6.6;15079259;19000000;-3920741
Edge of Tomorrow;1631867;7.9;369206256;178000000;191206256
Hanyut;1823126;6.9;;5000000;
Along Came a Spider;0164334;6.3;105178561;60000000;45178561
Altered States;0080360;6.9;19853892;;
Always Another Dawn;0039147;4.6;;;
Always Outnumbered;0146425;7.3;;;
An American Dream;0060099;5.1;;;
Americanese;0402763;4.9;;;
American Psycho;0144084;7.6;34266564;7000000;27266564
American Splendor;0305206;7.5;6003587;;
A Place in the Sun;0043924;7.8;;2295304;
The Americanization of Emily;0057840;7.4;;;
Intervista;0093267;7.1;112560;;
The Amityville Horror;0384806;6.0;108047131;19000000;89047131
El Amor infiel;;;;;
The Young Rajah;0013802;7.0;;;
Amu;0414713;7.4;47806;;
Anatomy of a Murder;0052561;8.1;11900000;;
And Now Tomorrow;0036599;7.0;;;
Identity;0309698;7.3;90259536;30000000;60259536
The Anderson Tapes;0066767;6.4;;;
The Andromeda Nebula;;;;;
The Andromeda Strain;0066769;7.2;12376563;6500000;5876563
Angel 2007;;;;;
Angel Square;0101348;6.8;;;
Angels and Demons;4158638;;;;
Anglo-Saxon Attitudes;;;;;
The Angry Hills;0052563;5.8;;;
Die Angst des Tormanns beim Elfmeter;0066773;6.7;;;
The Day of the Dolphin;0069946;6.1;2300000;8500000;-6200000
Animal Farm;0204824;6.0;;23000000;
The King and I;0049408;7.5;21300000;4550000;16750000
Amour;1602620;7.9;29844753;8900000;20944753
Anna to the Infinite Power;0085169;6.6;;;
Anne of Green Gables: The Sequel;0092571;8.3;;;
Anne of Green Gables;0088727;8.4;;;
The Year of the Jellyfish;;;;;
Adventure;0037494;6.0;6000000;3500000;2500000
Masada;0081900;7.9;;;
Anthony Adverse;0027300;6.6;;1050500;
[Anti]killer;0325005;5.6;;1500000;
Antonieta;0083567;5.8;;;
Duel at Diablo;0060355;6.7;;;
Apartment for Peggy;0040104;7.2;;;
The Apocalypse Watch;0120027;4.6;;;
The Apple Dumpling Gang;0072653;6.3;36853000;;
Appointment with Death;0094669;6.1;960040;;
Appointment with Venus;0043293;6.0;;;
The Apprenticeship of Duddy Kravitz;0071155;6.8;;;
Buck Rogers;0032290;7.2;;;
L'armée des ombres;0064040;8.2;741766;;
The Man from Dakota;0031617;5.1;;;
Arrowsmith 1931;;;;;
El Asalto;;;;;
Ascenseur pour l'échafaud;0051378;8.0;263404;;
Ask the Dust;0384814;5.8;742614;;
The Wedding Date;0372532;6.1;47175038;15000000;32175038
The Asphalt Jungle;0042208;7.9;;;
The Assassination Bureau;0064045;6.7;;;
The Assassination of Jesse James by the Coward Robert Ford;0443680;7.6;3904982;30000000;-26095018
Gervaise;0049259;7.5;;;
Assunta Spina;0003637;6.5;;;
Der schweigende Stern;0053250;4.3;;;
Asylum 2005;;;;;
At Play in the Fields of the Lord;0101373;6.8;1342903;36000000;-34657097
Journey to the Center of the Earth;0373051;5.8;241995151;45000000;196995151
Atlantis;2705602;6.7;;;
Atonement;0783233;7.8;129266061;30000000;99266061
Audrey Rose;0075704;5.9;;;
The Auction Block;0016616;;;;
Auntie Mame;0051383;8.0;23300000;2240000;21060000
Avalon High;1614950;5.7;;;
The Aviator 1985;;;;;
Away All Boats;0048971;6.3;3500000;;
An Awfully Big Adventure;0112427;6.0;258195;4000000;-3741805
Le Couperet;;;;;
Ayat-Ayat Cinta;;;;;
Baby Love;0078819;4.1;;;
Babylon A.D.;0364970;5.6;22531698;70000000;-47468302
Back Street;0054653;6.8;;;
Back When We Were Grownups;0387851;6.5;;;
Background to Danger;0035659;6.5;;;
Bad Girl 1931;;;;;
The Bad Seed;0048977;7.5;;1000000;
Baise-moi;0249380;4.5;74018;;
L'appât;0112387;6.9;40617;;
Cat Ballou;0059017;6.9;20666667;;
The Flim-Flam Man;0061678;7.0;;;
The Running Man;0093894;6.6;38122105;27000000;11122105
Xiao cai feng;0291032;7.2;665260;;
Band of Angels;0050166;6.6;;;
Bank Shot;0071194;5.4;;;
Third Man on the Mountain;0053352;7.4;;;
The Barefoot Mailman;0043319;6.3;;;
The Great Mouse Detective;0091149;7.2;38625550;14000000;24625550
Bastard Out of Carolina;0115633;7.4;;;
Battle Cry;0047860;6.6;17440000;;
The Battle of the Villa Fiorita;0058949;5.9;;;
Batoru rowaiaru;0266308;7.7;;4500000;
Battlefield Earth;0185183;2.4;21471685;44000000;-22528315
Be Cool;0377471;5.6;95226116;53000000;42226116
A Patch of Blue;0059573;8.0;;800000;
The Accused;0094608;7.1;32069318;6000000;26069318
La spiaggia;0046352;6.8;;;
Beaches;0094715;6.7;57041866;;
The Young Warriors;0062516;6.1;;;
King Kong;0024216;8.0;10000000;670000;9330000
The Beastmaster;0083630;6.2;14056528;8000000;6056528
Que la bête meure;0064861;8.0;;;
The Beast Within;0083629;5.4;7742572;;
Beat the Devil;0046414;6.7;;1000000;
Beau Brocade;0317127;;;;
Beau Geste;0031088;7.9;;;
Beautiful Creatures;1559547;6.2;60052138;60000000;52138
Bedelia;0038342;6.7;;;
Bee Season;0387059;5.5;4432349;14000000;-9567651
The Public Enemy;0022286;7.8;;;
Suspicion;0034248;7.5;4500000;1103000;3397000
Behind That Curtain;0019684;4.8;;;
Being There;0078841;8.0;30177511;;
The Private Affairs of Bel Ami;0039735;6.8;;;
Secret Diary of a Call Girl;1000734;7.4;;;
Belli Moda;0231246;7.3;;;
Bellman and True;0092636;6.9;226944;;
Beloved;0120603;5.8;22852487;53000000;-30147513
Belphégor - Le fantôme du Louvre;0214529;4.4;;;
Ben-Hur;0052618;8.1;196200000;15900000;180300000
Son of Fury: The Story of Benjamin Blake;0035360;7.1;;;
Benzina;0302309;5.2;4307;;
Beowulf;0442933;6.3;196393745;150000000;46393745
Berlin Alexanderplatz;0080196;8.8;;;
La bestia nel cuore;0443446;6.6;;;
Human Desire;0047101;7.2;;;
The Betsy;0077228;5.0;17685000;;
Beyond the Forest;0041172;7.1;;;
Kala Pani;0255289;8.2;;;
The BFG;3691740;;;;
Bhowani Junction;0049007;6.4;4875000;3637000;1238000
Somewhere in Time;0081534;7.3;;5100000;
Bidaya wa Nihaya;;;;;
The Big Bounce;0315824;4.9;6471394;50000000;-43528606
The Big Clock;0040160;7.7;;;
Big Fish;0319061;8.0;122919055;70000000;52919055
The Big Fisherman;0052627;6.0;;4000000;
The Big Heat;0045555;8.0;;;
That's What I Am;1606180;7.1;;5000000;
The Big Lebowski;0118715;8.2;17451873;15000000;2451873
Big Trouble;0246464;6.5;7262288;40000000;-32737712
It Couldn't Happen Here;0093284;6.7;;;
Billion Dollar Brain;0061405;6.1;;;
Billy Bathgate;0101453;5.9;15965919;48000000;-32034081
Billy Liar;0056868;7.5;35609;;
Birdy;0086969;7.3;1455045;;
The Bishop's Wife;0039190;7.6;;;
Biruma no tategoto;0049012;8.1;;;
The Biscuit Eater;0068276;5.9;;;
Tart;0203975;4.7;;3300000;
Bitter Moon;0104779;7.1;1862805;5000000;-3137195
The Bitter Tea of General Yen;0023814;7.1;;;
The Leopard Man;0036104;6.9;;;
Senso '45;0267261;5.1;;;
Black Arrow;0088813;7.9;;;
Black Beauty;0109279;6.6;4630377;;
The Black Camel;0021668;7.2;;;
Street of Chance;0035388;6.4;;;
The Black Dahlia;0387877;5.6;22518325;50000000;-27481675
Black Narcissus;0039192;8.0;;;
The Chase;0109402;5.7;8009329;;
The Black Rose;0042256;6.3;;;
The Black Stallion;0078872;7.4;37799643;2700000;35099643
Black Sunday;0075765;6.8;15769322;;
Blackboard Jungle;0047885;7.4;;;
