Book,Movie,IMDb ID,IMDb Rating,Gross Revenue,Budget,Net Profit
Hababam S?n?f?,Hababam sinifi,tt0252487,9.5,,,
The Godfather (Mario Puzo),The Godfather,tt0068646,9.2,245066411,6000000,239066411
A Christmas Gift,Kenny & Dolly: A Christmas to Remember,tt0087548,9.1,,,
Pride and Prejudice,Pride and Prejudice,tt0112130,9.1,,,
Life of Pi,Life of Pi: A Filmmaker's Epic Journey,tt2736880,9,,,
Fight Club,Fight Club,tt0137523,8.9,100853753,63000000,37853753
From the Earth to the Moon,From the Earth to the Moon,tt0120570,8.9,,68000000,
The Lord of the Rings,The Lord of the Rings: The Return of the King,tt0167260,8.9,1119929521,94000000,1025929521
The Return of the King,The Lord of the Rings: The Return of the King,tt0167260,8.9,1119929521,94000000,1025929521
Schindler's Ark,Schindler's List,tt0108052,8.9,321306305,22000000,299306305
The Wonderful Wizard of Oz,Oz,tt0118421,8.9,,,
The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,tt0086661,8.8,,,
Berlin Alexanderplatz,Berlin Alexanderplatz,tt0080196,8.8,,,
The Body Snatchers,Al Ijtiyah,tt4027618,8.8,,,
The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,tt0120737,8.8,871530324,93000000,778530324
Forrest Gump,Forrest Gump,tt0109830,8.8,677945399,55000000,622945399
City of God,Cidade de Deus,tt0317248,8.7,18062482,3300000,14762482
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,tt0073486,8.7,112000000,4400000,107600000
"Tinker, Tailor, Soldier, Spy",Tinker Tailor Soldier Spy,tt0080297,8.7,,,
The Two Towers,The Lord of the Rings: The Two Towers,tt0167261,8.7,926047111,94000000,832047111
Bleak House,Bleak House,tt0442632,8.6,,,
Centennial,Centennial,tt0076993,8.6,,25000000,
Lottie and Lisa,Futurama,tt0149460,8.6,,,
The Silence of the Lambs,The Silence of the Lambs,tt0102926,8.6,272742922,19000000,253742922
The A.B.C. Murders,The ABC Murders,tt0467432,8.5,,,
A Certain Mr. Takahashi,The Pianist,tt0253474,8.5,120072577,35000000,85072577
"The Lion, the Witch and the Wardrobe","The Lion, the Witch and the Wardrobe",tt0224907,8.5,,,
The Green Mile,The Green Mile,tt0120689,8.5,286801374,60000000,226801374
The Jewel of Seven Stars,The Curse of the Mummy,tt0566501,8.5,,,
El Pianista,The Pianist,tt0253474,8.5,120072577,35000000,85072577
Pollyanna,Poly,tt0167691,8.5,,,
Psycho (Robert Bloch),Psycho,tt0054215,8.5,50000000,806947,49193053
