100 Rifles;100 Rifles;;
101 Reykjavik;101 Reykjavik;;
The 120 Days of Sodom;Salo;;
The 25th Hour;25th Hour;;
2010: Odyssey Two;2010;;
4.50 From Paddington;Murder, She Said;Le crime est notre affaire;;
42nd Street;42nd Street;;
48 Shades of Brown;48 Shades;;
491 Lars Gorling;491;;
50 Shades of Grey;50 Shades of Grey;;
50 Ways of Saying Fabulous;50 Ways of Saying Fabulous;;
52 Pick-Up;The Ambassador;52 Pick-Up;;
58 Minutes;Die Hard 2;;
633 Squadron;633 Squadron;;
The A.B.C. Murders;The Alphabet Murders;The A.B.C. Murders;;
About a Boy;About a Boy;;
About Schmidt;About Schmidt;;
Absolute Power;Absolute Power;;
The Accidental Tourist;The Accidental Tourist;;
Across 110th;Across 110th Street;;
Adam Resurrected;Adam Resurrected;;
Adams Fall;Abandon;;
Addie Pray;Paper Moon;;
Adiliya by the River;Green Tea;;
Adolphe;Adolphe;;
Adventure;Adventure;;
The Adventurers;The Adventurers;;
The Adventures of Captain Alatriste;Alatriste;;
The Adventures of Hajji Baba of Ispahan;The Adventures of Hajji Baba;;
Adventures of Huckleberry Finn;Huck and Tom;Huckleberry Finn;Huckleberry Finn;Huck Finn;The Adventures of Huckleberry Finn;The Adventures of Huckleberry Finn;The Adventures of Huckleberry Finn;Huckleberry Finn;Hopelessly Lost;Huckleberry Finn;The Adventures of Huckleberry Finn;Adventures of Huckleberry Finn;The Adventures of Mark Twain;Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn;The Adventures of Huck Finn;Tom and Huck;Tomato Sawyer and Huckleberry Larry's Big River Rescue;;
The Adventures of Pinocchio;The Adventures of Pinocchio;Pinocchio;Pinocchio;The Adventures of Buratino;Pinocchio in Outer Space;Pinocchio;Pinocchio;The Adventures of Buratino;Pinocchio;The Adventures of Pinocchio;Pinocchio and the Emperor of the Night;964 Pinocchio;Pinocchio;Pinocchio's Revenge;The Adventures of Pinocchio;Geppetto;A.I. Artificial Intelligence;A Tree of Palme;Pinocchio;Pinocchio 3000;Pinocchio;Pistachio - The Little Boy That Woodn't;;
The Adventures of Sherlock Holmes;Adventures of Sherlock Holmes; or, Held for Ransom;The Adventures of Sherlock Holmes;The Adventures of Sherlock Holmes;The Adventures of Sherlock Holmes and Dr. Watson;Sheerluck Holmes and the Golden Ruler;;
The Adventures of Tom Sawyer;Tom Sawyer;Tom Sawyer;Huck and Tom;Tom Sawyer;Huckleberry Finn;The Adventures of Tom Sawyer;Tom Sawyer;The Adventures of Mark Twain;Tom Sawyer;Huckleberry Finn;Tom Sawyer;Huckleberry Finn;Tom Sawyer;The Adventures of Mark Twain;Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn;Tom and Huck;Tom Sawyer;;
Advise and Consent;Advise and Consent;;
Aelita;Aelita;;
The African Queen;The African Queen;;
After Dark, My Sweet;After Dark, My Sweet;;
After Hours 1979;Carlito's Way 1993;;
After the Funeral;Murder at the Gallop;;
The Age of Innocence;The Age of Innocence;The Age of Innocence;The Age of Innocence;The Age of Innocence;;
The Agony and the Ecstasy;The Agony and the Ecstasy;;
Aimez-vous Brahms?;Goodbye Again;Jahan Tum Le Chalo;;
Air America 1985;Air America;;
Airborn;Airborn;;
Airport;Airport;Airport 1975;Airport '77;The Concorde ... Airport '79;;
Alice Adams;Alice Adams;Alice Adams;;
Allan Quatermain;Allan Quatermain and the Lost City of Gold;;
All Fall Down;All Fall Down;;
All the Brothers Were Valiant;All the Brothers Were Valiant;Across to Singapore;All the Brothers Were Valiant;;
All the King's Men;All the King's Men;All the King's Men;;
All the Pretty Horses;All the Pretty Horses;;
All the Rivers Run;All the Rivers Run;;
All the Way;Sex Drive;;
All You Need Is Kill;Edge of Tomorrow;;
Almayer's Folly;Hanyut;Almayer's Folly;;
Along Came a Spider;Along Came a Spider;;
Altered States;Altered States;;
Always Another Dawn;Always Another Dawn;;
Always Outnumbered, Always Outgunned;Always Outnumbered;;
An American Dream;An American Dream;;
American Knees;Americanese;;
American Psycho;American Psycho;American Psycho 2: All-American Girl;;
American Splendor;American Splendor;;
An American Tragedy;A Place in the Sun;;
The Americanization of Emily;The Americanization of Emily;;
Amerika;Intervista;Amerika;;
The Amityville Horror;The Amityville Horror;The Amityville Horror;;
El Amor infiel;El Amor infiel;;
Amos Judd;The Young Rajah;;
Amu Shonali Bose;Amu;;
Anatomy of a Murder;Anatomy of a Murder;;
And Now Tomorrow;And Now Tomorrow;;
And Then There Were None;And Then There Were None;Ten Little Indians;Gumnaam;Ten Little Indians;Zehn kleine Negerlein;And Then There Were None;Desyat Negrityat;Ten Little Indians;Identity;;
The Anderson Tapes;The Anderson Tapes;;
Andromeda: A Space-Age Tale;The Andromeda Nebula;;
The Andromeda Strain;The Andromeda Strain;The Andromeda Strain;;
Angel 1957 Elizabeth Taylor;Angel 2007;;
Angel Square;Angel Square;;
Angels and Demons;Angels and Demons;;
Anglo-Saxon Attitudes;Anglo-Saxon Attitudes;;
The Angry Hills;The Angry Hills;;
The Goalkeeper's Fear of the Penalty;The Goalkeeper's Fear of the Penalty;;
A Sentient Animal;The Day of the Dolphin;;
Animal Farm;Animal Farm;Animal Farm;;
Anna and the King of Siam;Anna and the King of Siam;The King and I;The King and I;Anna and the King;;
Anna Karenina;Anna Karenina;Anna Karenina;Love;Anna Karenina;Anna Karenina;Nahr al-Hob;Anna Karenina;Anna Karenina;Anna Karenina;Anna Karenina;Anna Karenina;Anna Karenina;;
Anna to the Infinite Power;Anna to the Infinite Power;;
Anne of Avonlea;Anne of Avonlea;Anne of Avonlea;;
Anne of Green Gables;Anne of Green Gables;Anne of Green Gables;Anne of Windy Poplars;Anne of Green Gables;Anne of Green Gables;Anne of Avonlea;Anne of Green Gables;Anne of Avonlea;Anne of Green Gables: The Continuing Story;Anne of Green Gables: A New Beginning;;
The Year of the Jellyfish;The Year of the Jellyfish;;
The Anointed;Adventure;;
The Antagonists;Masada;;
Anthony Adverse;Anthony Adverse;;
Antikiller;Antikiller;;
Antonieta;Antonieta;;
Apache Rising;Duel at Diablo;;
A Job for Jenny;Apartment for Peggy;;
The Apocalypse Watch;The Apocalypse Watch;;
The Apple Dumpling Gang;The Apple Dumpling Gang;The Apple Dumpling Gang Rides Again;Tales from the Apple Dumpling Gang;;
Appointment with Death;Appointment with Death;;
Appointment with Venus;Appointment with Venus;;
The Apprenticeship of Duddy Kravitz;The Apprenticeship of Duddy Kravitz;;
Armageddon 2419 A.D.;Buck Rogers;Buck Rogers in the 25th Century;;
The Army of Shadows;The Army of Shadows;;
Arouse and Beware;The Man from Dakota;;
Arrowsmith 1925;Arrowsmith 1931;;
El Asalto;El Asalto;;
Lift to the Scaffold;Elevator to the Gallows;;
Ask the Dust;Ask the Dust;;
Asking for Trouble;The Wedding Date;;
The Asphalt Jungle;The Asphalt Jungle;The Badlanders;;
The Assassination Bureau, Ltd;The Assassination Bureau;;
The Assassination of Jesse James by the Coward Robert Ford;The Assassination of Jesse James by the Coward Robert Ford;;
L'Assommoir;Gervaise;;
Assunta Spina;Assunta Spina;Assunta Spina;Assunta Spina;Assunta Spina;;
The Astronauts;First Spaceship on Venus;;
Asylum 1996;Asylum 2005;;
At Play in the Fields of the Lord;At Play in the Fields of the Lord;;
At the Earth's Core;At the Earth's Core;Journey to the Center of the Earth;;
Atlantis;Atlantis;;
Atonement;Atonement;;
Audrey Rose;Audrey Rose;;
The Auction Block;The Auction Block;The Auction Block;;
Auntie Mame;Auntie Mame;;
Avalon High;Avalon High;;
The Aviator;The Aviator 1985;;
Away All Boats;Away All Boats;;
