Book;Movie
The 25th Hour;25th Hour
2010: Odyssey Two;2010
42nd Street;42nd Street
50 Shades of Grey;Fifty Shades of Grey
58 Minutes;Die Hard 2
About a Boy;About a Boy
About Schmidt;About Schmidt
Absolute Power;Absolute Power
The Adventures of Pinocchio;Pinocchio
The Adventures of Sherlock Holmes;Sherlock Holmes
After Hours 1979;Carlito's Way
The Age of Innocence;The Age of Innocence
The Agony and the Ecstasy;The Agony and the Ecstasy
Air America 1985;Air America
Airport;Airport
All the Brothers Were Valiant;Across to Singapore
All the King's Men;All the King's Men
All the Pretty Horses;All the Pretty Horses
All the Way;Sex Drive
All You Need Is Kill;Edge of Tomorrow
Along Came a Spider;Along Came a Spider
American Psycho;American Psycho
The Amityville Horror;The Amityville Horror
The Andromeda Strain;The Andromeda Strain
Angel 1957 Elizabeth Taylor;Angel
Angel Square;Angel Square
Anna and the King of Siam;The King and I
Anna Karenina;Amour
The Anointed;Adventure
Asking for Trouble;The Wedding Date
The Assassination of Jesse James by the Coward Robert Ford;The Assassination of Jesse James by the Coward Robert Ford
At Play in the Fields of the Lord;At Play in the Fields of the Lord
At the Earth's Core;Journey to the Center of the Earth
Atonement;Atonement
Auntie Mame;Auntie Mame
The Aviator;The Aviator
An Awfully Big Adventure;An Awfully Big Adventure
Babylon Babies;Babylon A.D.
Basil of Baker Street;The Great Mouse Detective
Battlefield Earth;Battlefield Earth
Be Cool;Be Cool
"Be Still, My Love";The Accused
The Beast Master;The Beastmaster
Beautiful Creatures;Beautiful Creatures
Bee Season;Bee Season
Before the Fact;Suspicion
Beloved;Beloved
Ben-Hur: A Tale of the Christ;Ben-Hur
Beowulf;Beowulf
Bhowani Junction;Bhowani Junction
The Big Bounce;The Big Bounce
Big Fish: A Novel of Mythic Proportions;Big Fish
The Big Sleep;The Big Lebowski
Big Trouble;Big Trouble
Billy Bathgate;Billy Bathgate
Bitter Moon;Bitter Moon
The Black Dahlia;The Black Dahlia
The Black Stallion;The Black Stallion
Bless the Child;Bless the Child
Blood Brother;Broken Arrow
Blood on the Moon;Cop
Blood Work;Blood Work
The Blue Lagoon;The Blue Lagoon
The Body;Stand by Me
The Body Snatchers;The Invasion
The Bonfire of the Vanities;The Bonfire of the Vanities
Das Boot;Das Boot
The Bourne Identity;The Bourne Identity
The Bourne Supremacy;The Bourne Supremacy
The Bourne Ultimatum;The Bourne Ultimatum
The Bourne Legacy;The Bourne Legacy
The Boy in the Striped Pyjamas;The Boy in the Striped Pyjamas
The Boys from Brazil;The Boys from Brazil
Breakfast of Champions;Breakfast of Champions
The Bride Wore Black;La mariée était en noir
"Brideshead Revisited, The Sacred and Profane Memories of Captain Charles Ryder";Brideshead Revisited
The Bridge of San Luis Rey;The Bridge of San Luis Rey
Bridge to Terabithia;Bridge to Terabithia
The Bridges of Madison County;The Bridges of Madison County
Bridget Jones;Bridget Jones's Diary
"Bright Lights, Big City";"Bright Lights, Big City"
Bringing Out the Dead;Bringing Out the Dead
Buffalo Soldiers;Buffalo Soldiers
BUtterfield 8;BUtterfield 8
Carlito's Way;Carlito's Way
The House of the Spirits;The House of the Spirits
Casino Royale;Casino Royale
The Castle;The Last Castle
Catch-22;Catch-22
A Certain Mr. Takahashi;The Pianist
The Chamber;The Chamber
Charlie and the Chocolate Factory;Willy Wonka & the Chocolate Factory
The Children of Men;Children of Men
Chocolat;Chocolat
Christine;Christine
"The Lion, the Witch and the Wardrobe";"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Prince Caspian;The Chronicles of Narnia: Prince Caspian
The Voyage of the Dawn Treader;The Chronicles of Narnia: The Voyage of the Dawn Treader
The Chronicles of Prydain;The Black Cauldron
The Cider House Rules;The Cider House Rules
Cimarron;Cimarron
Cirque Du Freak: The Saga of Darren Shan;Cirque du Freak: The Vampire's Assistant
The City of Ember;City of Ember
City of God;Cidade de Deus
The Clan of the Cave Bear;The Clan of the Cave Bear
Clear and Present Danger;Clear and Present Danger
The Client;The Client
Clockers;Clockers
A Clockwork Orange;A Clockwork Orange
El Club Dumas;The Ninth Gate
Cold Mountain;Cold Mountain
The Color of Money;The Color of Money
The Color Purple;The Color Purple
Cool Hand Luke;Cool Hand Luke
The Count of Monte Cristo;The Count of Monte Cristo
Congo;Congo
Contact;Contact
Cool Hand Luke;Cool Hand Luke
Corazon salvaje;Wild at Heart
The Cowboys;The Cowboys
Crash;Crash
O Crime do Padre Amaro;El crimen del Padre Amaro
"Crouching Tiger, Hidden Dragon";Wo hu cang long
Cry Wolf;Cry_Wolf
Cycle of the Werewolf;Skyfall
The Da Vinci Code;The Da Vinci Code
Dad (William Wharton);Dad
Damnation Alley;Damnation Alley
The Damned Utd;The Damned United
Dances with Wolves (Michael Blake);Dances with Wolves
The Dangerous Lives of Altar Boys (Chris Fuhrman);The Dangerous Lives of Altar Boys
The Dark Is Rising Sequence;The Seeker: The Dark Is Rising
The Day the World Ended (Gordon Thomas);When Time Ran Out...
The Dead Zone;The Dead Zone
Dear John;Dear John
Death Sentence (Brian Garfield);Death Sentence
Death Wish (Brian Garfield);Death Wish
December Boys (Michael Noonan);December Boys
The Deep (Peter Benchley);The Deep
The Deep End of the Ocean (Jacquelyn Mitchard);The Deep End of the Ocean
Deliverance (James Dickey);Deliverance
D'entre les morts (Pierre Boileau and Thomas Narcejac);Vertigo
Desert of the Heart (Jane Rule);Desert Hearts
The Devil Wears Prada (Lauren Weisberger);The Devil Wears Prada
The Devil's Advocate (Andrew Neiderman);The Devil's Advocate
Diamonds Are Forever (Ian Fleming);Diamonds Are Forever
Disclosure (Michael Crichton);Disclosure
Divine Secrets of the Ya-Ya Sisterhood (Rebecca Wells);Divine Secrets of the Ya-Ya Sisterhood
Do Androids Dream of Electric Sheep? (Philip K. Dick);Blade Runner
Doctor Zhivago;Doctor Zhivago
Don't Say a Word;Don't Say a Word
The Double Take;I Love Trouble
Dracula (Bram Stoker);Dracula
Dreamcatcher;Dreamcatcher
Dr. No;Dr. No
The Eagle of the Ninth;The Eagle
Eaters of the Dead;The 13th Warrior
Election (Tom Perrotta);Election
Elephant Walk;Elephant Walk
Elmer Gantry;Elmer Gantry
Emma;Emma
Empire of the Sun;Empire of the Sun
The End of the Affair;The End of the Affair
Endless Love;Endless Love
Enemy Mine;Enemy Mine
The English Patient;The English Patient
Eragon;Eragon
Everything Is Illuminated;Everything Is Illuminated
The Executioners;Cape Fear
Exit to Eden;Exit to Eden
Exit Wounds;Exit Wounds
Exodus;Exodus
The Exorcist;The Exorcist
Falling Angel;Angel Heart
The Fan (Peter Abrahams);The Fan
Fantastic Mr Fox;Fantastic Mr. Fox
A Farewell to Arms;A Farewell to Arms
Farewell to the King (L'Adieu au Roi);Farewell to the King
Father of Frankenstein;Gods and Monsters
Father Sky;Taps
Fear and Loathing in Las Vegas;Fear and Loathing in Las Vegas
The Feather Men;Killer Elite
The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring
Fever Pitch;Fever Pitch
Fight Club;Fight Club
Firefox (Craig Thomas);Firefox
Firestarter (Stephen King);Firestarter
The Firm (John Grisham);The Firm
First Blood;First Blood
The First Wives Club;The First Wives Club
Flight of the Intruder;Flight of the Intruder
Focus (Arthur Miller);Focus
For Love of the Game;For Love of the Game
For Whom the Bell Tolls;For Whom the Bell Tolls
Force 10 From Navarone;Force 10 from Navarone
Forever Amber;Forever Amber
Forrest Gump;Forrest Gump
The Fox and the Hound;The Fox and the Hound
Frankenstein (Mary Shelley);Young Frankenstein
Freaky Friday;Freaky Friday
Freedomland;Freedomland
Fried Green Tomatoes at the Whistle Stop Cafe;Fried Green Tomatoes
The Friendly Persuasion;Friendly Persuasion
From Here to Eternity;From Here to Eternity
"From Russia, with Love";From Russia with Love
Funny Farm;Funny Farm
The Fury (John Farris);The Fury
Get Shorty;Get Shorty
The Getaway (Jim Thompson);The Getaway
The Ghost (Robert Harris);The Ghost Writer
Giant (Edna Ferber);Giant
The Glass Inferno;The Towering Inferno
The Godfather (Mario Puzo);The Godfather
Gods and Generals;Gettysburg
The Golden Bowl;The Golden Bowl
Goldfinger;Goldfinger
Gone with the Wind;Gone with the Wind
The Good German;The Good German
A Good Year (Peter Mayle);A Good Year
Great Expectations;Great Expectations
The Great Gatsby;The Great Gatsby
The Great Train Robbery;The First Great Train Robbery
The Green Mile;The Green Mile
Gulliver's Travels;Gulliver's Travels
The Guns of Navarone;The Guns of Navarone
Hannibal (Thomas Harris);Hannibal
Harry Potter;Harry Potter and the Sorcerer's Stone
Harry Potter and the Philosopher's Stone;Harry Potter and the Sorcerer's Stone
Harry Potter and the Chamber of Secrets;Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire;Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix;Harry Potter and the Order of the Phoenix
