const,Title,IMDb Rating,Year,URL,Gross Revenue,Budget,Net Profit
tt0109830,Forrest Gump,8.8,1994,http://www.imdb.com/title/tt0109830/,677387716,55000000,622387716
tt0102926,The Silence of the Lambs,8.6,1991,http://www.imdb.com/title/tt0102926/,272742922,19000000,253742922
tt0055928,Dr. No,7.3,1962,http://www.imdb.com/title/tt0055928/,43500000,1100000,42400000
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,5.9,2010,http://www.imdb.com/title/tt0814255/,226497209,95000000,131497209
tt0338348,The Polar Express,6.6,2004,http://www.imdb.com/title/tt0338348/,307514317,165000000,142514317
tt0070047,The Exorcist,8.0,1973,http://www.imdb.com/title/tt0070047/,357500000,8000000,349500000
tt0068473,Deliverance,7.8,1972,http://www.imdb.com/title/tt0068473/,46122355,2000000,44122355
tt0074285,Carrie,7.4,1976,http://www.imdb.com/title/tt0074285/,33800000,1800000,32000000
tt0989757,Dear John,6.3,2010,http://www.imdb.com/title/tt0989757/,114977104,25000000,89977104
tt0056592,To Kill a Mockingbird,8.4,1962,http://www.imdb.com/title/tt0056592/,13129846,2000000,11129846
