Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
The 25th Hour;25th Hour;tt0307901;7.7;13060843;15000000;-1939157
2010: Odyssey Two;2010;tt0086837;6.8;40200000;28000000;12200000
42nd Street;42nd Street;tt0024034;7.7;2300000;439000;1861000
50 Shades of Grey;Fifty Shades of Grey;tt2322441;4.1;570489358;40000000;530489358
58 Minutes;Die Hard 2;tt0099423;7.1;240031094;70000000;170031094
About a Boy;About a Boy;tt0276751;7.1;130549455;27000000;103549455
About Schmidt;About Schmidt;tt0257360;7.2;105834556;30000000;75834556
Absolute Power;Absolute Power;tt0118548;6.7;50007168;50000000;7168
Adams Fall;Abandon;tt0267248;4.9;12302219;25000000;-12697781
Adventure;Adventure;tt0037494;6.1;6000000;3500000;2500000
The Adventures of Pinocchio;Pinocchio;tt0032910;7.5;84254167;2600000;81654167
The Adventures of Sherlock Holmes;Sherlock Holmes;tt0988045;7.6;524028679;90000000;434028679
After Hours 1979;Carlito's Way;tt0106519;7.9;63848322;30000000;33848322
The Age of Innocence;The Age of Innocence;tt0106226;7.2;32000000;30000000;2000000
The Agony and the Ecstasy;The Agony and the Ecstasy;tt0058886;7.2;4000000;10000000;-6000000
Air America 1985;Air America;tt0099005;5.7;31053601;35000000;-3946399
Airport;Airport;tt0065377;6.6;100489150;10000000;90489150
All the Brothers Were Valiant;Across to Singapore;tt0018618;7.3;596000;290000;306000
All the King's Men;All the King's Men;tt0405676;6.2;7221458;55000000;-47778542
All the Pretty Horses;All the Pretty Horses;tt0149624;5.8;18133495;57000000;-38866505
All the Way;Sex Drive;tt1135985;6.6;15079259;19000000;-3920741
All You Need Is Kill;Edge of Tomorrow;tt1631867;7.9;369206256;178000000;191206256
Along Came a Spider;Along Came a Spider;tt0164334;6.3;105178561;60000000;45178561
American Psycho;American Psycho;tt0144084;7.6;34266564;7000000;27266564
The Amityville Horror;The Amityville Horror;tt0384806;6.0;108047131;19000000;89047131
The Andromeda Strain;The Andromeda Strain;tt0066769;7.2;12376563;6500000;5876563
Angel 1957 Elizabeth Taylor;Angel;tt0783767;5.9;38935;15000000;-14961065
Angel Square;Angel Square;tt0808151;6.7;485930816;150000000;335930816
A Sentient Animal;The Day of the Dolphin;tt0069946;6.1;2300000;8500000;-6200000
Anna and the King of Siam;The King and I;tt0049408;7.5;21300000;4550000;16750000
Anna Karenina;Amour;tt1602620;7.9;29844753;8900000;20944753
The Anointed;Adventure;tt0037494;6.1;6000000;3500000;2500000
Asking for Trouble;The Wedding Date;tt0372532;6.1;47175038;15000000;32175038
The Assassination of Jesse James by the Coward Robert Ford;The Assassination of Jesse James by the Coward Robert Ford;tt0443680;7.6;3904982;30000000;-26095018
At Play in the Fields of the Lord;At Play in the Fields of the Lord;tt0101373;6.8;1342903;36000000;-34657097
At the Earth's Core;Journey to the Center of the Earth;tt0373051;5.8;241995151;45000000;196995151
Atonement;Atonement;tt0783233;7.8;129266061;30000000;99266061
Auntie Mame;Auntie Mame;tt0051383;8.0;23300000;2240000;21060000
The Aviator;The Aviator;tt0338751;7.5;213741459;110000000;103741459
An Awfully Big Adventure;An Awfully Big Adventure;tt0112427;6.0;258195;4000000;-3741805
Babylon Babies;Babylon A.D.;tt0364970;5.6;22531698;70000000;-47468302
The Ballad of the Running Man ;The Running Man;tt0093894;6.6;38122105;27000000;11122105
Basil of Baker Street;The Great Mouse Detective;tt0091149;7.2;38625550;14000000;24625550
Battlefield Earth;Battlefield Earth;tt0185183;2.4;21471685;44000000;-22528315
Be Cool;Be Cool;tt0377471;5.6;95226116;53000000;42226116
Be Still, My Love;The Accused;tt0094608;7.1;32069318;6000000;26069318
The Beast;King Kong;tt0024216;8.0;10000000;670000;9330000
The Beast Master;The Beastmaster;tt0083630;6.2;14056528;8000000;6056528
Beautiful Creatures;Beautiful Creatures;tt1559547;6.2;60052138;60000000;52138
Bee Season;Bee Season;tt0387059;5.5;4432349;14000000;-9567651
Before the Fact;Suspicion;tt0034248;7.5;4500000;1103000;3397000
Beloved;Beloved;tt0120603;5.8;22852487;53000000;-30147513
Ben-Hur: A Tale of the Christ;Ben-Hur;tt0052618;8.1;196200000;15900000;180300000
Beowulf;Beowulf;tt0442933;6.3;196393745;150000000;46393745
Bhowani Junction;Bhowani Junction;tt0049007;6.4;4875000;3637000;1238000
The Big Bounce;The Big Bounce;tt0315824;4.9;6471394;50000000;-43528606
Big Fish: A Novel of Mythic Proportions;Big Fish;tt0319061;8.0;122919055;70000000;52919055
The Big Sleep;The Big Lebowski;tt0118715;8.2;17451873;15000000;2451873
Big Trouble;Big Trouble;tt0246464;6.5;7262288;40000000;-32737712
Billy Bathgate;Billy Bathgate;tt0101453;5.9;15965919;48000000;-32034081
Bitter Moon;Bitter Moon;tt0104779;7.1;1862805;5000000;-3137195
The Black Dahlia;The Black Dahlia;tt0387877;5.6;22518325;50000000;-27481675
The Black Stallion;The Black Stallion;tt0078872;7.4;37799643;2700000;35099643
Bless the Child;Bless the Child;tt0163983;5.0;29374178;40000000;-10625822
Blood Brother;Broken Arrow;tt0115759;6.0;150270147;50000000;100270147
Blood on the Moon;Cop;tt0092783;6.4;1884315;2500000;-615685
Blood on the Moon;Cop;tt0092783;6.4;1884315;2500000;-615685
Blood Work;Blood Work;tt0309377;6.4;26199517;50000000;-23800483
The Blue Lagoon;The Blue Lagoon;tt0080453;5.7;58853106;4500000;54353106
The Body;Stand by Me;tt0092005;8.1;52287414;8000000;44287414
The Body Snatchers;The Invasion;tt0427392;5.9;15071514;80000000;-64928486
The Bonfire of the Vanities;The Bonfire of the Vanities;tt0099165;5.4;15691192;47000000;-31308808
Das Boot;Das Boot;tt0082096;8.4;84970337;14000000;70970337
The Bourne Identity;The Bourne Identity;tt0258463;7.9;214034224;60000000;154034224
The Bourne Supremacy;The Bourne Supremacy;tt0372183;7.8;288500217;75000000;213500217
The Bourne Ultimatum;The Bourne Ultimatum;tt0440963;8.1;442824138;110000000;332824138
The Bourne Legacy;The Bourne Legacy;tt1194173;6.7;276144750;125000000;151144750
The Boy in the Striped Pyjamas;The Boy in the Striped Pyjamas;tt0914798;7.8;9030581;12500000;-3469419
The Boys from Brazil;The Boys from Brazil;tt0077269;7.0;19000000;12000000;7000000
Breakfast of Champions;Breakfast of Champions;tt0120618;4.6;175370;12000000;-11824630
The Bride Wore Black;La mariée était en noir;tt0061955;7.3;42324;747000;-704676
Brideshead Revisited, The Sacred and Profane Memories of Captain Charles Ryder;Brideshead Revisited;tt0412536;6.7;6414563;20000000;-13585437
The Bridge of San Luis Rey;The Bridge of San Luis Rey;tt0356443;5.1;42880;24000000;-23957120
Bridge to Terabithia;Bridge to Terabithia;tt0398808;7.2;137587063;17000000;120587063
The Bridges of Madison County;The Bridges of Madison County;tt0112579;7.5;182016617;35000000;147016617
Bridget Jones;Bridget Jones's Diary;tt0243155;6.7;281929795;26000000;255929795
Bright Lights, Big City;Bright Lights, Big City;tt0094799;5.6;16118077;25000000;-8881923
Bringing Out the Dead;Bringing Out the Dead;tt0163988;6.8;16640210;55000000;-38359790
Buffalo Soldiers;Buffalo Soldiers;tt0252299;6.9;353743;15000000;-14646257
BUtterfield 8;BUtterfield 8;tt0053622;6.4;16462599;2500000;13962599
Carlito's Way;Carlito's Way;tt0106519;7.9;63848322;30000000;33848322
The House of the Spirits;The House of the Spirits;tt0107151;6.9;6265311;25000000;-18734689
Casino Royale;Casino Royale;tt0381061;8.0;599045960;150000000;449045960
The Castle;The Last Castle;tt0272020;6.9;18208078;60000000;-41791922
Catch-22;Catch-22;tt0065528;7.2;24911670;18000000;6911670
