Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
100 Rifles;100 Rifles;tt0063970;5.9;;3920000;
101 Reykjavik;101 Reykjavík;tt0237993;6.9;12182;;
The 120 Days of Sodom;Salò o le 120 giornate di Sodoma;tt0073650;6.0;;;
The 25th Hour;25th Hour;tt0307901;7.7;13060843;15000000;-1939157
2010: Odyssey Two;2010;tt0086837;6.8;40200000;28000000;12200000
4.50 From Paddington;Murder She Said;tt0055205;7.4;;;
42nd Street;42nd Street;tt0024034;7.7;2300000;439000;1861000
48 Shades of Brown;48 Shades;tt0476519;6.0;;;
491 Lars Gorling;491;tt0057810;5.9;;;
50 Shades of Grey;Fifty Shades of Grey;tt2322441;4.1;570489358;40000000;530489358
50 Ways of Saying Fabulous;50 Ways of Saying Fabulous;tt0429482;5.8;;;
52 Pick-Up;52 Pick-Up;tt0090567;6.4;5186646;;
58 Minutes;Die Hard 2;tt0099423;7.1;240031094;70000000;170031094
633 Squadron;633 Squadron;tt0057811;6.4;;1300000;
The A.B.C. Murders;The ABC Murders;tt0467432;8.5;;;
About a Boy;About a Boy;tt0276751;7.1;130549455;27000000;103549455
About Schmidt;About Schmidt;tt0257360;7.2;105834556;30000000;75834556
Absolute Power;Absolute Power;tt0118548;6.7;50007168;50000000;7168
The Accidental Tourist;The Accidental Tourist;tt0094606;6.8;32632093;;
Across 110th;Across 110th Street;tt0068168;7.0;10000000;;
Adam Resurrected;Adam Resurrected;tt0479341;6.3;;10000000;
Adams Fall;Abandon;tt0267248;4.9;12302219;25000000;-12697781
Addie Pray;Paper Moon;tt0070510;8.2;30933743;;
Adiliya by the River;Lü cha;tt0382821;6.9;;;
Adolphe;Adolphe;tt0307923;6.0;;;
Adventure;Adventure;tt0037494;6.1;6000000;3500000;2500000
The Adventurers;The Adventurers;tt0065374;5.1;;17000000;
The Adventures of Captain Alatriste;Alatriste;tt0395119;6.1;23321954;;
The Adventures of Hajji Baba of Ispahan;The Adventures of Hajji Baba;tt0046683;5.9;;;
Adventures of Huckleberry Finn;The Adventures of Mark Twain;tt0088678;7.6;849915;;
The Adventures of Pinocchio;Priklyucheniya Buratino;tt0073570;7.9;;;
The Adventures of Sherlock Holmes;The Adventures of Sherlock Holmes;tt0086661;8.8;;;
The Adventures of Tom Sawyer;The Adventures of Mark Twain;tt0088678;7.6;849915;;
Advise and Consent;Advise & Consent;tt0055728;7.8;;;
Aelita;Aelita;tt4963304;0;;;
The African Queen;The African Queen;tt0043265;7.9;10750000;;
After Dark, My Sweet;After Dark, My Sweet;tt0098994;6.6;2678414;;
After Hours 1979;Carlito's Way;tt0106519;7.9;63848322;30000000;33848322
After the Funeral;Murder at the Gallop;tt0057334;7.3;;;
The Age of Innocence;The Age of Innocence;tt0106226;7.2;32000000;30000000;2000000
The Agony and the Ecstasy;The Agony and the Ecstasy;tt0058886;7.2;4000000;10000000;-6000000
Aimez-vous Brahms?;Goodbye Again;tt0054936;7.0;;;
Air America 1985;Air America;tt0099005;5.7;31053601;35000000;-3946399
Airborn;Airborn;tt1542361;0;;132750;
Airport;Airport;tt0065377;6.6;100489150;10000000;90489150
Alice Adams;Alice Adams;tt0026056;7.1;;;
Allan Quatermain;Allan Quatermain and the Lost City of Gold;tt0092534;4.3;3751699;;
All Fall Down;The Architect;tt0466665;5.5;12644;;
All the Brothers Were Valiant;Across to Singapore;tt0018618;7.3;596000;290000;306000
All the King's Men;All the King's Men;tt0405676;6.2;7221458;55000000;-47778542
All the Pretty Horses;All the Pretty Horses;tt0149624;5.8;18133495;57000000;-38866505
All the Rivers Run;All the Rivers Run;tt0086663;8.0;;;
All the Way;Sex Drive;tt1135985;6.6;15079259;19000000;-3920741
All You Need Is Kill;Edge of Tomorrow;tt1631867;7.9;369206256;178000000;191206256
Almayer's Folly;Hanyut;tt1823126;6.9;;5000000;
Along Came a Spider;Along Came a Spider;tt0164334;6.3;105178561;60000000;45178561
Altered States;Altered States;tt0080360;6.9;19853892;;
Always Another Dawn;Always Another Dawn;tt0039147;4.6;;;
Always Outnumbered, Always Outgunned;Always Outnumbered;tt0146425;7.3;;;
An American Dream;An American Dream;tt0060099;5.1;;;
American Knees;Americanese;tt0402763;4.9;;;
American Psycho;American Psycho;tt0144084;7.6;34266564;7000000;27266564
American Splendor;American Splendor;tt0305206;7.5;6003587;;
An American Tragedy;A Place in the Sun;tt0043924;7.8;;2295304;
The Americanization of Emily;The Americanization of Emily;tt0057840;7.4;;;
Amerika;Intervista;tt0093267;7.1;112560;;
The Amityville Horror;The Amityville Horror;tt0384806;6.0;108047131;19000000;89047131
El Amor infiel;El amor infiel;tt0190966;0;;;
Amos Judd;The Young Rajah;tt0013802;7.0;;;
Amu Shonali Bose;Amu;tt0414713;7.4;47806;;
Anatomy of a Murder;Anatomy of a Murder;tt0052561;8.1;11900000;;
And Now Tomorrow;And Now Tomorrow;tt0036599;7.0;;;
And Then There Were None;Desyat negrityat;tt0092879;8.0;;;
The Anderson Tapes;The Anderson Tapes;tt0066767;6.4;;;
Andromeda: A Space-Age Tale;Tumannost Andromedy;tt0278781;5.9;;;
The Andromeda Strain;The Andromeda Strain;tt0066769;7.2;12376563;6500000;5876563
Angel 1957 Elizabeth Taylor;Gli angeli del 2000;tt0204820;0;;;
Angel Square;Angel Square;tt0101348;6.8;;;
Angels and Demons;Angels and Demons;tt4158638;0;;;
Anglo-Saxon Attitudes;Anglo Saxon Attitudes;tt0204136;6.8;;;
The Angry Hills;The Angry Hills;tt0052563;5.8;;;
The Goalkeeper's Fear of the Penalty;Die Angst des Tormanns beim Elfmeter;tt0066773;6.7;;;
A Sentient Animal;The Day of the Dolphin;tt0069946;6.1;2300000;8500000;-6200000
Animal Farm;Animal Farm;tt0204824;6.0;;23000000;
Anna and the King of Siam;The King and I;tt0049408;7.5;21300000;4550000;16750000
Anna Karenina;Amour;tt1602620;7.9;29844753;8900000;20944753
Anna to the Infinite Power;Anna to the Infinite Power;tt0085169;6.6;;;
Anne of Avonlea;Anne of Green Gables: The Sequel;tt0092571;8.3;;;
Anne of Green Gables;Anne of Green Gables;tt0088727;8.4;;;
The Year of the Jellyfish;L'année des méduses;tt0086902;5.6;;;
The Anointed;Adventure;tt0037494;6.1;6000000;3500000;2500000
The Antagonists;Masada;tt0081900;7.9;;;
Anthony Adverse;Anthony Adverse;tt0027300;6.6;;1050500;
Antikiller;[Anti]killer;tt0325005;5.6;;1500000;
Antonieta;Antonieta;tt0083567;5.8;;;
Apache Rising;Duel at Diablo;tt0060355;6.7;;;
A Job for Jenny;Apartment for Peggy;tt0040104;7.2;;;
